course_name,course_bucket
Physician Assistance,humanities_misc
Architectural Drafting,humanities_misc
Marketing Research,humanities_misc
Real Estate,humanities_misc
Military Applied Sciences,humanities_misc
Biophysics,humanities_misc
Web Management,humanities_misc
English,humanities_misc
Human Nutrition,humanities_misc
Advertising,humanities_misc
Labor and Industrial Relations,humanities_misc
Agronomy and Crop Science,humanities_misc
Systematic Biology,humanities_misc
Medicine and Surgery(MBBS),humanities_misc
Recording Arts Technology,humanities_misc
Water Wetlands and Marine Resources Management,humanities_misc
Radio and Television Broadcasting Technology,humanities_misc
Plant Pathology,humanities_misc
Physical Sciences,humanities_misc
Biomedical Technology,humanities_misc
Health Promotion,humanities_misc
Industrial Technology,humanities_misc
Computer Programming General,humanities_misc
Learning Sciences,humanities_misc
Management Studies,humanities_misc
Pharmaceutical Marketing and Management,humanities_misc
Environmental System,humanities_misc
Business Data Analysis and Forecasting,humanities_misc
Sports Studies,humanities_misc
Elementary School Teaching,humanities_misc
Forensic Psychology,humanities_misc
Interior Design,humanities_misc
Intellectual Property,humanities_misc
Environment Resources and Sustainability,humanities_misc
Art Education,humanities_misc
Aerospace Engineering Technology,humanities_misc
German,humanities_misc
Ecommerce,humanities_misc
Voice and Opera,humanities_misc
Engineering Practice,humanities_misc
Marine Biology,humanities_misc
Global Development and Social Justice Ma,humanities_misc
Microbial Biotechnology,humanities_misc
Applied Biological Sciences,humanities_misc
Publishing,humanities_misc
Advanced Drug,humanities_misc
Politics and Contemporary History,humanities_misc
Telecommunications Management,humanities_misc
Bba,humanities_misc
Cultural Resource Management,humanities_misc
Theoretical and Mathematical Physics,humanities_misc
Animal and Veterinary Science,humanities_misc
Computer Software Technology,humanities_misc
Cell Physiology,humanities_misc
Arts Management and Arts Entrepreneurship,humanities_misc
Engineering Management Mem,humanities_misc
Operations Management,humanities_misc
Higher Education Administration,humanities_misc
Logistics and Supply Chain Management,humanities_misc
Industrial Engineering,humanities_misc
Computer and Information Systems,humanities_misc
Engineering Mechanics,humanities_misc
Computer Engineering,humanities_misc
Finance ,humanities_misc
Chemical Engineering,humanities_misc
Epidemiology,humanities_misc
Electrical and Computer Engineering,humanities_misc
Architecture,civil_arch
Cognitive Psychology and Psycholinguistics,humanities_misc
Technology Innovation and Entrepreneurship,humanities_misc
Mba,business
Web Development,humanities_misc
 Financial Management,humanities_misc
Chemistry,humanities_misc
Robotics Technology,humanities_misc
Human Factors and Ergonomics,humanities_misc
Education,humanities_misc
Data Analytics and Quantitative Analysis,humanities_misc
Business General,humanities_misc
Digital Communications and Multimedia,humanities_misc
Computational Mathematics,humanities_misc
Computer Networking and Telecommunications,humanities_misc
Drafting and Design Technology,humanities_misc
Drug Discovery and Regulatory Affairs,humanities_misc
Clinical Regulatory Affairs,humanities_misc
Telecommunications Technology,humanities_misc
Management and Business Analytics,humanities_misc
Biology General,humanities_misc
Structural Engineering,humanities_misc
Game Programming,humanities_misc
Neuroscience,humanities_misc
Development Economics and International Development,humanities_misc
Computer Aided Drafting and Design,humanities_misc
Urban Community and Regional Planning,humanities_misc
Laws,humanities_misc
Marine Engineering and Naval Architecture,humanities_misc
Information Technology Project Management,humanities_misc
Health Administration,humanities_misc
Foods Nutrition and Wellness Studies,humanities_misc
Molecular Pharmacology,humanities_misc
Quality Management Systems,humanities_misc
Theater Arts,humanities_misc
Community Development,humanities_misc
Technical and Scientific Communication,humanities_misc
Immunology,humanities_misc
Health Policy Analysis,humanities_misc
Health Care Leadership,humanities_misc
Public Policy Analysis,humanities_misc
Transportation and Highway Engineering,humanities_misc
Chemical and Biological Engineering,humanities_misc
Aeronautical Engineering,humanities_misc
Communication General,humanities_misc
Mining Engineering,humanities_misc
Applied Psychology,humanities_misc
Photography,humanities_misc
Multi  Interdisciplinary Studies General,humanities_misc
Hazardous Materials Management and Waste Technology,humanities_misc
It Strategy and Digital Transformation,humanities_misc
Engineering Physics,humanities_misc
Analytical Chemistry,humanities_misc
Biometrics,humanities_misc
Adult and Technical Education,humanities_misc
Games Technology,humanities_misc
Advanced Manufacturing and Quality Control Technologies Focused On Composition Properties and Integrity of Materials,humanities_misc
Arts and Entertainment Management,humanities_misc
Race and Ethnicity,humanities_misc
Development Studies,humanities_misc
Cognitive Science,humanities_misc
Product Innovation and Computing,humanities_misc
Visual and Performing Arts General,humanities_misc
Polymer Chemistry,humanities_misc
Earth Science,humanities_misc
Humanities,humanities_misc
Music Technology,humanities_misc
Geosciences,humanities_misc
Strategic Management,humanities_misc
Biochemical Engineering,humanities_misc
Ecology and Evolutionary Biology,humanities_misc
Maritime Studies,humanities_misc
Environmental Control Technologies,humanities_misc
Atomic and Molecular Physics,humanities_misc
Textile Sciences and Engineering,humanities_misc
Water Quality and Wastewater Treatment,humanities_misc
Business and Marketing Management,humanities_misc
Broadcast Journalism,humanities_misc
Complementary Integrative Healthcare,humanities_misc
Latin American Studies,humanities_misc
Digital and Social Media Marketing,humanities_misc
International Finance,humanities_misc
Physical Therapy,humanities_misc
Design Innovation Management,humanities_misc
Sustainable Business,humanities_misc
Accounting and Analytics,humanities_misc
Poultry Science,humanities_misc
Machine Shop Technology,humanities_misc
Multimedia,humanities_misc
Molecular Biochemistry,humanities_misc
Computational and Medicinal Chemistry,humanities_misc
Agribusiness Operations,humanities_misc
Horticultural Science,humanities_misc
Coaching and Talent Development,humanities_misc
Community Health and Preventive Medicine,humanities_misc
Directed Energy Systems,humanities_misc
International Policy Analysis,humanities_misc
School Psychology,humanities_misc
Railroad and Railway Transportation,humanities_misc
Management Information System Mis,humanities_misc
Aerospace Education,humanities_misc
Astronautics and Space Engineering,humanities_misc
Psychological Method,humanities_misc
Culture and Heritage,humanities_misc
Human Development and Family Studies,humanities_misc
Industrial Maintenance Technology,humanities_misc
Semiconductor Manufacturing Technology,humanities_misc
Liberal Arts and Sciences,humanities_misc
Mobile and Web Application Development,humanities_misc
Medical Physics,humanities_misc
Family and Consumer Sciences,humanities_misc
Earth Systems Environmental Science Technology,humanities_misc
Animation and Special Effects,humanities_misc
Fiber Textile and Weaving Arts,humanities_misc
Regional Studies,humanities_misc
Hydrology and Water Resources Science,humanities_misc
Emergency Management Homeland Security,humanities_misc
Advertising Public Relations and Media Design,humanities_misc
Premedicine,humanities_misc
Community Psychology,humanities_misc
Hospitality Administration and Management,humanities_misc
Emerging Media,humanities_misc
Computer Systems Analysis,humanities_misc
Apparel and Textile Manufacture,humanities_misc
Event Management,humanities_misc
Special Education,humanities_misc
Operational Oceanography,humanities_misc
