program_id,n_total,n_admit,n_reject,admit_rate_smoothed
be1b066a2259e8f55cd668ac536a6343cc6e1bb6,41,31,10,0.6721311475409836
764e12a4af9728f928d40e8047dc40be8e610bc7,28,22,6,0.6666666666666666
e240b5d155aea2a819187667b46036fc72ccf1ba,15,9,6,0.5428571428571428
a61412ecc10ebd1a8bacc80d6adcf2b7ad4dfb33,1,1,0,0.5238095238095238
621e3af803161ced5dcc401701f82c6fe7fc5d3b,7,7,0,0.6296296296296297
82c0252e0948051b29966e3e0aea6f6ce46fd4a5,1,0,1,0.47619047619047616
9d2e41c026c7dff66088685a86ce1c1aeb7cd2a1,1,1,0,0.5238095238095238
bd2d97beb3541c9196151ad112d5ffa22da41142,6,4,2,0.5384615384615384
80751d8dd704fe91bfc23a936d85b87899872d98,38,29,9,0.6724137931034483
53d9d847a2115eee90bdd954cef89b9ce4b122ed,1,1,0,0.5238095238095238
177dbb57fe5555ce28b5914c48ddb7dddf240ec8,1,1,0,0.5238095238095238
1be42911dcedca1a1ac824ecfce6a6931d14819e,4,3,1,0.5416666666666666
c4e8e2c698cc7e4ad968882ccc064e00e6f2d7e3,1,1,0,0.5238095238095238
552c1b3735301c901cdd4ac6b91e007328a07a1f,1,1,0,0.5238095238095238
904d935282a5a329279c5508497f5ec6a9d7ef22,1,1,0,0.5238095238095238
e4227b73e58ea6f8dc7f0d3c45d3d7e4c3ba297e,1546,944,602,0.6091954022988506
d7d484e2cea50205ecdaf4b5fa2bc252f5e46958,2,2,0,0.5454545454545454
c0b5504624c981ff0145840b26e787491110b4fe,4,4,0,0.5833333333333334
af9905b01c61527d405bb8772e219d7e8ff20aa0,2,0,2,0.45454545454545453
14975fd08dc99eb052678d9dadcda5fe18ecfbb9,5,3,2,0.52
5a34fa561151b7895d5275b31321c06f8129f70d,1,1,0,0.5238095238095238
e1acbd6094c424a67249f47e6af39b5824adcb8a,1,1,0,0.5238095238095238
444f01697855edde0f12a7d47e905bf9d94cadea,37,20,17,0.5263157894736842
9380c1a79a47780f2b8d732cc36f4b51c5ae8842,3,3,0,0.5652173913043478
0c080f6803c919b6f409af522fde8d7b72f8c1f9,1,1,0,0.5238095238095238
88966a3e6fa7b78c18f398cbd904646fa307f44e,2,1,1,0.5
be89b27545845f7e185086cf5389a9362eadf124,1,0,1,0.47619047619047616
c8d836feb4169aa628d7a78b5ef5f84b03b912e1,5,4,1,0.56
f59649754d8f006522e533fc1820fff55543e71f,3,3,0,0.5652173913043478
f15d33ff7a4cefe6987adefe0152aa0bc2037bfa,2,0,2,0.45454545454545453
76ee7fe2728a6613c1340a6ef48c63e7f807fa0a,1,1,0,0.5238095238095238
a4a53ba8038b57044fd139d8e53726b7c1f17218,2,2,0,0.5454545454545454
cde123d328906a9a2d4b4cbfffe3e54fcff4cba4,1,0,1,0.47619047619047616
7ce6207f6de4f5c178373ebcfa2f361dfcf8b56e,1,1,0,0.5238095238095238
48c717840b757a9dc017e82e31ae24986ddb39b6,5,5,0,0.6
5379e88a81f1d394b4893b9dc44b6a3552c21cd6,1,1,0,0.5238095238095238
b5ebce42001eb4ff452715db7392b3598e2407e7,2,2,0,0.5454545454545454
7e6d250a1871ac4e11788e87305de1cd39b121e7,1,1,0,0.5238095238095238
ea8eddd161fc75d03063094e198878c28c7b78cb,1,1,0,0.5238095238095238
dc1cb4d0067429586bef0db1d426cb120a7a1eef,1,0,1,0.47619047619047616
503074451e03a7a4ec39b473caa72815fe767bda,1,0,1,0.47619047619047616
0c0ef00fddbfaeb67348cf20e3b3c0063b79c38f,156,126,30,0.7727272727272727
280ecb3d5ce78defeb5766e598e410101260d47d,1,1,0,0.5238095238095238
d510dc4c260aef62ee1300761a893c009785c5cc,1,1,0,0.5238095238095238
36ada807402b684cbbb0d2a12dc786e4ffc1ee58,2,2,0,0.5454545454545454
d469ca0e4eb55a767b21ba3aad18fac4694e790a,1,0,1,0.47619047619047616
98dc823e38a0bfb9695f2f0f9ab2fc8f0ebd6e7f,1,0,1,0.47619047619047616
82496c9abeac16442750ca62022df591b67d6a6c,6,3,3,0.5
3d3290c4e2a309a7be79b9bee104be5646b65e75,2,2,0,0.5454545454545454
d4fdbb1286a0181391b2d15fa6a587f8f277ac25,16,14,2,0.6666666666666666
f6e5d5237f9b426b2883b960b3164410a37ceb37,2,1,1,0.5
297e702004d1ffa043a4b5d2c76db8759049b375,5,2,3,0.48
409011a4bead7f482193f314f773d8b88eecd37c,1,0,1,0.47619047619047616
7059de1ecd195a5567eef16e360ef76484ea5314,445,146,299,0.33548387096774196
4ebc91db29985aabd1907dd8a971f321faad51b3,23,17,6,0.627906976744186
c96efff03acfd4d21f42615cbb7dece4fd1d1eb3,6,1,5,0.4230769230769231
f6cbc05797a310582dc9a727b9adc3c68f760612,1,0,1,0.47619047619047616
cc8ca90a1090e7e3886ebde617749c5501aa0566,90,70,20,0.7272727272727273
07bf1fe451d71886a4d11ce3e19a0de1c2b06b2b,1,1,0,0.5238095238095238
7d1921fd9dfb9265d739f56f55c4da9e70210e94,3,3,0,0.5652173913043478
b3fc2b93c5776e2bb1fcfd314e58ecb569f35a42,1,1,0,0.5238095238095238
87678d07ebc151b2439403977324cb95d75c0dc0,5,5,0,0.6
fd68f81e232ba96a9bb46b717e6d89b340fb3b1e,2,1,1,0.5
3c1bac8f93a24303324789b5b3d8b7745fcb46d8,14,11,3,0.6176470588235294
0e952ec57f11e7fe5bc861838f9265d7ff563d64,573,228,345,0.40134907251264756
77ff08b265ed37d0631c4dd1351c6ae4e34d470d,2,1,1,0.5
ebfcc6a11be9fd4312f5d510b8a358ed9bd2d74f,2,2,0,0.5454545454545454
ced4fee607321b0232f78fc7cc75a689859d8380,1,0,1,0.47619047619047616
6dad152ca8498cbfd66bc082cc206edbc3f8c459,15,10,5,0.5714285714285714
22977d3a4ace0009d9c0af490e014ff5f9579a80,3,3,0,0.5652173913043478
680086917ecbd46dc1c7b23067d15ca67c963f30,11,9,2,0.6129032258064516
64519caa0fc23d32a3211f355a0ada20f1b1df70,1,1,0,0.5238095238095238
0fa1923eba79901d9186a5d66fcd7deba83dfbea,2,2,0,0.5454545454545454
ce0a343856f583534cc2e75a4f8b4e67b660915e,36,33,3,0.7678571428571429
ee7f0c37c1370cb0e70f4108db519bd047244697,3,0,3,0.43478260869565216
6409ebdb07285ca1c67d82af836566c6bd29c334,1,0,1,0.47619047619047616
e0da7f0516fbbcc4ce243b0c64e943d35cc31808,3,2,1,0.5217391304347826
22a4437051804165104ecd632a296181deadc8db,13,5,8,0.45454545454545453
7aa786d0897d0719bbae6cab60ba33ea5b684a34,1,0,1,0.47619047619047616
986038c3f88e7ecdddb060c26cf1722c6a494b39,10,7,3,0.5666666666666667
392ee6380a1b07d2d21a2b41afdbf37aef2dc4d3,1,1,0,0.5238095238095238
9c79147352b9aa5cfa28e5e5c7ae472f9d6d3d8b,2,2,0,0.5454545454545454
52b8bad7ba7a3952bc0ac82ef151b4e0db7127fa,1,1,0,0.5238095238095238
bf92b65970d5941526207c1b4834ff17e1ce1d85,3,2,1,0.5217391304347826
af073638cdc0463ac41efa2c0ecf162db3414083,3,0,3,0.43478260869565216
3636c64c1d198e18485b4a87ab083dd364efad2b,2,1,1,0.5
771633b941e3d0b04e5abc9128a2a759e9889989,4,4,0,0.5833333333333334
c67948860e1a3a9228ca75fe35488f6eee445656,11,3,8,0.41935483870967744
6e5ee5552336b639bbd79e08aa8b84a11e8e2607,8,7,1,0.6071428571428571
b6c327df2f0b71f997df726bdb505b7fd3cb6bda,1,1,0,0.5238095238095238
